Protein,Raw_Count,Harmonized_Count,IC_Raw,IC_Harmonized,Improvement_Pct,BP_Raw,BP_Harmonized,MF_Raw,MF_Harmonized,CC_Raw,CC_Harmonized,IC_BP_Raw,IC_BP_Harmonized,IC_MF_Raw,IC_MF_Harmonized,IC_CC_Raw,IC_CC_Harmonized
A0A075B6U6,5,16,20.0072,45.5155,127.5,2,5,0,0,3,11,7.0941,12.5279,0.0,0.0,12.9131,32.9876
A0A075B6V5,5,21,19.5001,62.2966,219.47,3,11,0,0,2,10,11.8765,34.5985,0.0,0.0,7.6236,27.6981
A0A075B6W5,5,20,21.5066,58.3483,171.3,2,5,1,5,2,10,7.0941,12.5279,6.7889,18.1223,7.6236,27.6981
A0A075B6X5,5,16,20.0072,45.5155,127.5,2,5,0,0,3,11,7.0941,12.5279,0.0,0.0,12.9131,32.9876
A0A075B6Y3,4,15,14.7177,40.226,173.32,2,5,0,0,2,10,7.0941,12.5279,0.0,0.0,7.6236,27.6981
A0A075B6Y9,3,9,9.0945,16.5136,81.58,2,5,0,0,1,4,7.0941,12.5279,0.0,0.0,2.0004,3.9857
A0A075B700,3,9,9.0945,16.5136,81.58,2,5,0,0,1,4,7.0941,12.5279,0.0,0.0,2.0004,3.9857
A0A075B706,4,15,14.7177,40.226,173.32,2,5,0,0,2,10,7.0941,12.5279,0.0,0.0,7.6236,27.6981
A0A075B734,11,37,66.0366,186.635,182.62,4,18,4,13,3,6,27.963,94.6921,29.6124,79.506,8.4612,12.4369
A0A075B759,5,15,26.2376,44.898,71.12,1,3,3,9,1,3,5.1921,5.8385,19.219,36.7045,1.8265,2.3551
A0A075B767,5,15,26.2376,44.898,71.12,1,3,3,9,1,3,5.1921,5.8385,19.219,36.7045,1.8265,2.3551
A0A075B7B6,7,21,28.2589,64.8729,129.57,3,11,1,3,3,7,13.0447,45.256,5.0842,6.1497,10.13,13.4672
A0A075B7B8,7,21,28.2589,64.8729,129.57,3,11,1,3,3,7,13.0447,45.256,5.0842,6.1497,10.13,13.4672
A0A075B7D0,7,21,28.2589,64.8729,129.57,3,11,1,3,3,7,13.0447,45.256,5.0842,6.1497,10.13,13.4672
A0A075B7D4,6,12,20.4733,25.9951,26.97,3,5,0,0,3,7,10.3433,12.5279,0.0,0.0,10.13,13.4672
A0A075B7D8,7,21,28.2589,64.8729,129.57,3,11,1,3,3,7,13.0447,45.256,5.0842,6.1497,10.13,13.4672
A0A075B7E8,7,21,28.2589,64.8729,129.57,3,11,1,3,3,7,13.0447,45.256,5.0842,6.1497,10.13,13.4672
A0A075B7F0,7,21,28.2589,64.8729,129.57,3,11,1,3,3,7,13.0447,45.256,5.0842,6.1497,10.13,13.4672
A0A075B7F1,7,21,28.2589,64.8729,129.57,3,11,1,3,3,7,13.0447,45.256,5.0842,6.1497,10.13,13.4672
A0A087WSX0,6,12,20.4733,25.9951,26.97,3,5,0,0,3,7,10.3433,12.5279,0.0,0.0,10.13,13.4672
A0A087WSY4,7,21,28.2589,64.8729,129.57,3,11,1,3,3,7,13.0447,45.256,5.0842,6.1497,10.13,13.4672
A0A087WSY6,6,12,20.4733,25.9951,26.97,3,5,0,0,3,7,10.3433,12.5279,0.0,0.0,10.13,13.4672
A0A087WSZ0,6,12,20.4733,25.9951,26.97,3,5,0,0,3,7,10.3433,12.5279,0.0,0.0,10.13,13.4672
A0A087WSZ9,5,21,19.5001,62.2966,219.47,3,11,0,0,2,10,11.8765,34.5985,0.0,0.0,7.6236,27.6981
A0A087WT01,9,29,37.9432,89.5303,135.96,5,15,1,3,3,11,21.113,51.56,1.0314,2.0969,15.7988,35.8733
A0A087WT02,5,16,20.0072,45.5155,127.5,2,5,0,0,3,11,7.0941,12.5279,0.0,0.0,12.9131,32.9876
A0A087WT03,5,21,19.5001,62.2966,219.47,3,11,0,0,2,10,11.8765,34.5985,0.0,0.0,7.6236,27.6981
A0A087WTH1,1,3,1.4567,1.9853,36.28,0,0,0,0,1,3,0.0,0.0,0.0,0.0,1.4567,1.9853
A0A087WUL8,1,3,1.8265,2.3551,28.94,0,0,0,0,1,3,0.0,0.0,0.0,0.0,1.8265,2.3551
A0A087WUV0,11,57,33.1828,124.1408,274.11,3,26,6,23,2,8,8.8731,50.7721,20.0621,64.7586,4.2477,8.6101
A0A087WV53,1,8,4.1005,23.1311,464.1,0,0,1,8,0,0,0.0,0.0,4.1005,23.1311,0.0,0.0
A0A087WV62,5,21,17.6953,48.3157,173.04,3,11,0,0,2,10,10.0718,20.6176,0.0,0.0,7.6236,27.6981
A0A087WVF3,4,20,12.4517,48.422,288.88,0,0,1,8,3,12,0.0,0.0,5.0253,27.9885,7.4264,20.4335
A0A087WW49,7,21,28.2589,64.8729,129.57,3,11,1,3,3,7,13.0447,45.256,5.0842,6.1497,10.13,13.4672
A0A087WW87,6,12,20.4733,25.9951,26.97,3,5,0,0,3,7,10.3433,12.5279,0.0,0.0,10.13,13.4672
A0A087WWA1,1,8,4.4495,12.7498,186.54,1,8,0,0,0,0,4.4495,12.7498,0.0,0.0,0.0,0.0
A0A087WXM9,10,33,78.2742,158.1132,102.0,7,22,0,0,3,11,59.084,126.5408,0.0,0.0,19.1902,31.5724
A0A087WXS9,4,20,12.4517,48.422,288.88,0,0,1,8,3,12,0.0,0.0,5.0253,27.9885,7.4264,20.4335
A0A087WYE8,7,21,28.2589,64.8729,129.57,3,11,1,3,3,7,13.0447,45.256,5.0842,6.1497,10.13,13.4672
A0A087WZ39,3,12,7.9253,15.2332,92.21,2,8,0,0,1,4,5.9249,11.2475,0.0,0.0,2.0004,3.9857
A0A087X0K7,5,21,17.6953,48.3157,173.04,3,11,0,0,2,10,10.0718,20.6176,0.0,0.0,7.6236,27.6981
A0A087X0M5,5,21,17.6953,48.3157,173.04,3,11,0,0,2,10,10.0718,20.6176,0.0,0.0,7.6236,27.6981
A0A087X179,4,20,12.4517,48.422,288.88,0,0,1,8,3,12,0.0,0.0,5.0253,27.9885,7.4264,20.4335
A0A087X1C5,14,44,71.8942,151.2044,110.32,3,19,8,16,3,9,19.5796,77.2055,45.784,63.1059,6.5306,10.893
A0A087X1G2,4,20,12.4517,48.422,288.88,0,0,1,8,3,12,0.0,0.0,5.0253,27.9885,7.4264,20.4335
A0A096LNP1,5,20,18.3959,59.8601,225.4,3,16,0,0,2,4,12.4906,53.4262,0.0,0.0,5.9053,6.4339
A0A096LNW5,5,28,17.7214,57.7966,226.14,3,18,1,7,1,3,10.8689,41.1927,4.0124,13.2353,2.8401,3.3687
A0A096LP01,5,21,19.2166,52.5298,173.36,0,0,3,7,2,14,0.0,0.0,10.7472,18.8193,8.4694,33.7105
A0A096LP49,3,19,16.6443,50.3262,202.36,1,9,1,6,1,4,7.4413,26.1052,4.9398,15.3717,4.2632,8.8493
A0A096LP55,7,31,37.0664,111.954,202.04,2,11,0,0,5,20,13.9301,49.9768,0.0,0.0,23.1364,61.9772
A0A096LPK9,8,29,26.6543,77.3915,190.35,4,19,2,6,2,4,14.7481,55.0078,8.4491,18.3981,3.4571,3.9857
A0A0A0MRZ7,6,12,20.4733,25.9951,26.97,3,5,0,0,3,7,10.3433,12.5279,0.0,0.0,10.13,13.4672
A0A0A0MRZ8,6,12,20.4733,25.9951,26.97,3,5,0,0,3,7,10.3433,12.5279,0.0,0.0,10.13,13.4672
A0A0A0MRZ9,6,12,20.4733,25.9951,26.97,3,5,0,0,3,7,10.3433,12.5279,0.0,0.0,10.13,13.4672
A0A0A0MS00,6,12,20.4733,25.9951,26.97,3,5,0,0,3,7,10.3433,12.5279,0.0,0.0,10.13,13.4672
A0A0A0MS01,4,15,14.7177,40.226,173.32,2,5,0,0,2,10,7.0941,12.5279,0.0,0.0,7.6236,27.6981
A0A0A0MS02,4,15,14.7177,40.226,173.32,2,5,0,0,2,10,7.0941,12.5279,0.0,0.0,7.6236,27.6981
A0A0A0MS03,5,21,17.6953,48.3157,173.04,3,11,0,0,2,10,10.0718,20.6176,0.0,0.0,7.6236,27.6981
A0A0A0MS04,5,21,17.6953,48.3157,173.04,3,11,0,0,2,10,10.0718,20.6176,0.0,0.0,7.6236,27.6981
A0A0A0MS05,5,21,17.6953,48.3157,173.04,3,11,0,0,2,10,10.0718,20.6176,0.0,0.0,7.6236,27.6981
A0A0A0MS06,5,21,17.6953,48.3157,173.04,3,11,0,0,2,10,10.0718,20.6176,0.0,0.0,7.6236,27.6981
A0A0A0MS14,7,21,28.2589,64.8729,129.57,3,11,1,3,3,7,13.0447,45.256,5.0842,6.1497,10.13,13.4672
A0A0A0MS15,7,21,28.2589,64.8729,129.57,3,11,1,3,3,7,13.0447,45.256,5.0842,6.1497,10.13,13.4672
A0A0A0MT36,6,12,20.4733,25.9951,26.97,3,5,0,0,3,7,10.3433,12.5279,0.0,0.0,10.13,13.4672
A0A0A0MT70,4,15,14.7177,40.226,173.32,2,5,0,0,2,10,7.0941,12.5279,0.0,0.0,7.6236,27.6981
A0A0A0MT76,5,12,17.2241,25.9951,50.92,2,5,0,0,3,7,7.0941,12.5279,0.0,0.0,10.13,13.4672
A0A0A0MT78,4,15,14.7177,40.226,173.32,2,5,0,0,2,10,7.0941,12.5279,0.0,0.0,7.6236,27.6981
A0A0A0MT87,4,15,14.7177,40.226,173.32,2,5,0,0,2,10,7.0941,12.5279,0.0,0.0,7.6236,27.6981
A0A0A0MT89,5,12,17.2241,25.9951,50.92,2,5,0,0,3,7,7.0941,12.5279,0.0,0.0,10.13,13.4672
A0A0A0MT94,4,15,14.7177,40.226,173.32,2,5,0,0,2,10,7.0941,12.5279,0.0,0.0,7.6236,27.6981
A0A0A0MTA4,4,15,14.7177,40.226,173.32,2,5,0,0,2,10,7.0941,12.5279,0.0,0.0,7.6236,27.6981
A0A0A0MTA7,4,15,14.7177,40.226,173.32,2,5,0,0,2,10,7.0941,12.5279,0.0,0.0,7.6236,27.6981
A0A0A6YYC5,6,16,23.2564,45.5155,95.71,3,5,0,0,3,11,10.3433,12.5279,0.0,0.0,12.9131,32.9876
A0A0A6YYD4,5,21,17.6953,48.3157,173.04,3,11,0,0,2,10,10.0718,20.6176,0.0,0.0,7.6236,27.6981
A0A0A6YYG2,5,21,17.6953,48.3157,173.04,3,11,0,0,2,10,10.0718,20.6176,0.0,0.0,7.6236,27.6981
A0A0A6YYG3,5,21,17.6953,48.3157,173.04,3,11,0,0,2,10,10.0718,20.6176,0.0,0.0,7.6236,27.6981
A0A0A6YYJ7,5,16,20.0072,45.5155,127.5,2,5,0,0,3,11,7.0941,12.5279,0.0,0.0,12.9131,32.9876
A0A0A6YYK1,5,16,20.0072,45.5155,127.5,2,5,0,0,3,11,7.0941,12.5279,0.0,0.0,12.9131,32.9876
A0A0A6YYK4,5,21,17.6953,48.3157,173.04,3,11,0,0,2,10,10.0718,20.6176,0.0,0.0,7.6236,27.6981
A0A0A6YYK6,5,16,20.0072,45.5155,127.5,2,5,0,0,3,11,7.0941,12.5279,0.0,0.0,12.9131,32.9876
A0A0A6YYK7,8,24,36.9918,74.8577,102.36,3,5,2,8,3,11,10.3433,12.5279,13.7355,29.3422,12.9131,32.9876
A0A0B4J1T7,6,41,38.1675,145.9227,282.32,2,23,2,12,2,6,15.5242,82.9115,17.1614,52.5182,5.482,10.493
A0A0B4J1U3,6,12,20.4733,25.9951,26.97,3,5,0,0,3,7,10.3433,12.5279,0.0,0.0,10.13,13.4672
A0A0B4J1U4,5,25,18.814,75.5291,301.45,3,15,0,0,2,10,11.1904,47.831,0.0,0.0,7.6236,27.6981
A0A0B4J1U6,5,21,17.6953,48.3157,173.04,3,11,0,0,2,10,10.0718,20.6176,0.0,0.0,7.6236,27.6981
A0A0B4J1U7,7,21,28.2589,64.8729,129.57,3,11,1,3,3,7,13.0447,45.256,5.0842,6.1497,10.13,13.4672
A0A0B4J1V0,7,21,28.2589,64.8729,129.57,3,11,1,3,3,7,13.0447,45.256,5.0842,6.1497,10.13,13.4672
A0A0B4J1V1,7,21,28.2589,64.8729,129.57,3,11,1,3,3,7,13.0447,45.256,5.0842,6.1497,10.13,13.4672
A0A0B4J1V2,7,21,28.2589,64.8729,129.57,3,11,1,3,3,7,13.0447,45.256,5.0842,6.1497,10.13,13.4672
A0A0B4J1V6,7,21,28.2589,64.8729,129.57,3,11,1,3,3,7,13.0447,45.256,5.0842,6.1497,10.13,13.4672
A0A0B4J1V7,7,21,28.2589,64.8729,129.57,3,11,1,3,3,7,13.0447,45.256,5.0842,6.1497,10.13,13.4672
A0A0B4J1X5,7,21,28.2589,64.8729,129.57,3,11,1,3,3,7,13.0447,45.256,5.0842,6.1497,10.13,13.4672
A0A0B4J1X8,7,21,28.2589,64.8729,129.57,3,11,1,3,3,7,13.0447,45.256,5.0842,6.1497,10.13,13.4672
A0A0B4J1Y8,6,12,20.4733,25.9951,26.97,3,5,0,0,3,7,10.3433,12.5279,0.0,0.0,10.13,13.4672
A0A0B4J1Y9,7,21,28.2589,64.8729,129.57,3,11,1,3,3,7,13.0447,45.256,5.0842,6.1497,10.13,13.4672
A0A0B4J1Z2,6,12,20.4733,25.9951,26.97,3,5,0,0,3,7,10.3433,12.5279,0.0,0.0,10.13,13.4672
A0A0B4J200,4,15,14.7177,40.226,173.32,2,5,0,0,2,10,7.0941,12.5279,0.0,0.0,7.6236,27.6981
A0A0B4J234,6,16,23.2564,45.5155,95.71,3,5,0,0,3,11,10.3433,12.5279,0.0,0.0,12.9131,32.9876
A0A0B4J235,5,21,19.5001,62.2966,219.47,3,11,0,0,2,10,11.8765,34.5985,0.0,0.0,7.6236,27.6981
A0A0B4J237,5,16,20.0072,45.5155,127.5,2,5,0,0,3,11,7.0941,12.5279,0.0,0.0,12.9131,32.9876
A0A0B4J238,5,21,19.5001,62.2966,219.47,3,11,0,0,2,10,11.8765,34.5985,0.0,0.0,7.6236,27.6981
A0A0B4J240,5,21,19.5001,62.2966,219.47,3,11,0,0,2,10,11.8765,34.5985,0.0,0.0,7.6236,27.6981
A0A0B4J241,5,21,19.5001,62.2966,219.47,3,11,0,0,2,10,11.8765,34.5985,0.0,0.0,7.6236,27.6981
A0A0B4J244,5,16,20.0072,45.5155,127.5,2,5,0,0,3,11,7.0941,12.5279,0.0,0.0,12.9131,32.9876
A0A0B4J245,5,20,21.5066,58.3483,171.3,2,5,1,5,2,10,7.0941,12.5279,6.7889,18.1223,7.6236,27.6981
A0A0B4J248,5,21,19.5001,62.2966,219.47,3,11,0,0,2,10,11.8765,34.5985,0.0,0.0,7.6236,27.6981
A0A0B4J249,5,21,19.5001,62.2966,219.47,3,11,0,0,2,10,11.8765,34.5985,0.0,0.0,7.6236,27.6981
A0A0B4J262,5,16,20.0072,45.5155,127.5,2,5,0,0,3,11,7.0941,12.5279,0.0,0.0,12.9131,32.9876
A0A0B4J263,5,21,19.5001,62.2966,219.47,3,11,0,0,2,10,11.8765,34.5985,0.0,0.0,7.6236,27.6981
A0A0B4J264,6,16,23.2564,45.5155,95.71,3,5,0,0,3,11,10.3433,12.5279,0.0,0.0,12.9131,32.9876
A0A0B4J265,5,21,19.5001,62.2966,219.47,3,11,0,0,2,10,11.8765,34.5985,0.0,0.0,7.6236,27.6981
A0A0B4J266,4,15,14.7177,40.226,173.32,2,5,0,0,2,10,7.0941,12.5279,0.0,0.0,7.6236,27.6981
A0A0B4J268,5,21,19.5001,62.2966,219.47,3,11,0,0,2,10,11.8765,34.5985,0.0,0.0,7.6236,27.6981
A0A0B4J271,5,20,21.5066,58.3483,171.3,2,5,1,5,2,10,7.0941,12.5279,6.7889,18.1223,7.6236,27.6981
A0A0B4J272,5,21,19.5001,62.2966,219.47,3,11,0,0,2,10,11.8765,34.5985,0.0,0.0,7.6236,27.6981
A0A0B4J273,5,21,19.5001,62.2966,219.47,3,11,0,0,2,10,11.8765,34.5985,0.0,0.0,7.6236,27.6981
A0A0B4J274,5,21,19.5001,62.2966,219.47,3,11,0,0,2,10,11.8765,34.5985,0.0,0.0,7.6236,27.6981
A0A0B4J275,5,21,19.5001,62.2966,219.47,3,11,0,0,2,10,11.8765,34.5985,0.0,0.0,7.6236,27.6981
A0A0B4J276,5,21,19.5001,62.2966,219.47,3,11,0,0,2,10,11.8765,34.5985,0.0,0.0,7.6236,27.6981
A0A0B4J277,4,15,14.7177,40.226,173.32,2,5,0,0,2,10,7.0941,12.5279,0.0,0.0,7.6236,27.6981
A0A0B4J279,5,21,19.5001,62.2966,219.47,3,11,0,0,2,10,11.8765,34.5985,0.0,0.0,7.6236,27.6981
A0A0B4J280,5,16,20.0072,45.5155,127.5,2,5,0,0,3,11,7.0941,12.5279,0.0,0.0,12.9131,32.9876
A0A0B4J2A2,5,15,26.2376,44.898,71.12,1,3,3,9,1,3,5.1921,5.8385,19.219,36.7045,1.8265,2.3551
A0A0B4J2B5,7,21,28.2589,64.8729,129.57,3,11,1,3,3,7,13.0447,45.256,5.0842,6.1497,10.13,13.4672
A0A0B4J2B6,7,21,28.2589,64.8729,129.57,3,11,1,3,3,7,13.0447,45.256,5.0842,6.1497,10.13,13.4672
A0A0B4J2B8,7,21,28.2589,64.8729,129.57,3,11,1,3,3,7,13.0447,45.256,5.0842,6.1497,10.13,13.4672
A0A0B4J2D9,6,12,20.4733,25.9951,26.97,3,5,0,0,3,7,10.3433,12.5279,0.0,0.0,10.13,13.4672
A0A0B4J2E0,5,21,17.6953,48.3157,173.04,3,11,0,0,2,10,10.0718,20.6176,0.0,0.0,7.6236,27.6981
A0A0B4J2F0,5,34,22.7527,89.0572,291.41,2,17,1,3,2,14,13.2518,53.2497,1.0314,2.0969,8.4694,33.7105
A0A0B4J2H0,7,21,28.2589,64.8729,129.57,3,11,1,3,3,7,13.0447,45.256,5.0842,6.1497,10.13,13.4672
A0A0C4DH24,6,12,20.4733,25.9951,26.97,3,5,0,0,3,7,10.3433,12.5279,0.0,0.0,10.13,13.4672
A0A0C4DH25,6,12,20.4733,25.9951,26.97,3,5,0,0,3,7,10.3433,12.5279,0.0,0.0,10.13,13.4672
A0A0C4DH26,6,12,20.4733,25.9951,26.97,3,5,0,0,3,7,10.3433,12.5279,0.0,0.0,10.13,13.4672
A0A0C4DH27,5,25,18.814,75.5291,301.45,3,15,0,0,2,10,11.1904,47.831,0.0,0.0,7.6236,27.6981
A0A0C4DH28,5,25,18.814,75.5291,301.45,3,15,0,0,2,10,11.1904,47.831,0.0,0.0,7.6236,27.6981
A0A0C4DH29,7,21,28.2589,64.8729,129.57,3,11,1,3,3,7,13.0447,45.256,5.0842,6.1497,10.13,13.4672
A0A0C4DH30,7,21,28.2589,64.8729,129.57,3,11,1,3,3,7,13.0447,45.256,5.0842,6.1497,10.13,13.4672
A0A0C4DH31,7,21,28.2589,64.8729,129.57,3,11,1,3,3,7,13.0447,45.256,5.0842,6.1497,10.13,13.4672
A0A0C4DH32,7,21,28.2589,64.8729,129.57,3,11,1,3,3,7,13.0447,45.256,5.0842,6.1497,10.13,13.4672
A0A0C4DH33,7,21,28.2589,64.8729,129.57,3,11,1,3,3,7,13.0447,45.256,5.0842,6.1497,10.13,13.4672
A0A0C4DH34,7,21,28.2589,64.8729,129.57,3,11,1,3,3,7,13.0447,45.256,5.0842,6.1497,10.13,13.4672
A0A0C4DH35,7,21,28.2589,64.8729,129.57,3,11,1,3,3,7,13.0447,45.256,5.0842,6.1497,10.13,13.4672
A0A0C4DH36,7,21,28.2589,64.8729,129.57,3,11,1,3,3,7,13.0447,45.256,5.0842,6.1497,10.13,13.4672
A0A0C4DH38,7,21,28.2589,64.8729,129.57,3,11,1,3,3,7,13.0447,45.256,5.0842,6.1497,10.13,13.4672
A0A0C4DH39,7,21,28.2589,64.8729,129.57,3,11,1,3,3,7,13.0447,45.256,5.0842,6.1497,10.13,13.4672
A0A0C4DH41,7,21,28.2589,64.8729,129.57,3,11,1,3,3,7,13.0447,45.256,5.0842,6.1497,10.13,13.4672
A0A0C4DH42,7,21,28.2589,64.8729,129.57,3,11,1,3,3,7,13.0447,45.256,5.0842,6.1497,10.13,13.4672
A0A0C4DH43,7,21,28.2589,64.8729,129.57,3,11,1,3,3,7,13.0447,45.256,5.0842,6.1497,10.13,13.4672
A0A0C4DH55,6,12,20.4733,25.9951,26.97,3,5,0,0,3,7,10.3433,12.5279,0.0,0.0,10.13,13.4672
A0A0C4DH59,5,21,17.6953,48.3157,173.04,3,11,0,0,2,10,10.0718,20.6176,0.0,0.0,7.6236,27.6981
A0A0C4DH62,5,12,17.2241,25.9951,50.92,2,5,0,0,3,7,7.0941,12.5279,0.0,0.0,10.13,13.4672
A0A0C4DH67,6,12,20.4733,25.9951,26.97,3,5,0,0,3,7,10.3433,12.5279,0.0,0.0,10.13,13.4672
A0A0C4DH68,6,12,20.4733,25.9951,26.97,3,5,0,0,3,7,10.3433,12.5279,0.0,0.0,10.13,13.4672
A0A0C4DH69,6,12,20.4733,25.9951,26.97,3,5,0,0,3,7,10.3433,12.5279,0.0,0.0,10.13,13.4672
A0A0C4DH72,6,12,20.4733,25.9951,26.97,3,5,0,0,3,7,10.3433,12.5279,0.0,0.0,10.13,13.4672
A0A0C4DH73,6,12,20.4733,25.9951,26.97,3,5,0,0,3,7,10.3433,12.5279,0.0,0.0,10.13,13.4672
A0A0C4DH90,6,12,20.4733,25.9951,26.97,3,5,0,0,3,7,10.3433,12.5279,0.0,0.0,10.13,13.4672
A0A0C5B5G6,17,102,93.8367,373.913,298.47,11,85,2,7,4,10,75.762,343.4505,7.1372,15.1626,10.9375,15.2999
A0A0D9SF12,1,3,1.4567,1.9853,36.28,0,0,0,0,1,3,0.0,0.0,0.0,0.0,1.4567,1.9853
A0A0G2JLG4,7,29,27.8527,93.5318,235.81,4,13,1,12,2,4,18.1299,41.1836,6.2657,48.3626,3.4571,3.9857
A0A0G2JMD5,8,66,34.0173,177.2555,421.07,5,51,1,5,2,10,19.7313,128.5507,5.6495,17.3637,8.6365,31.341
